timestamp,bucket_values
2023-11-28T07:07:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.001, 0.002, 0.008, 0.064, 0.146, 0.185, 0.201, 0.179, 0.126, 0.057, 0.021, 0.006, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-11-29T07:17:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.002, 0.004, 0.008, 0.014, 0.033, 0.07, 0.141, 0.217, 0.278, 0.162, 0.053, 0.014, 0.002, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
